,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Kahve Grubu Fiyat Listesi-28.10.2025,,,,,,,,,
Ürün Kodu,Ürün Adı,Ambalaj,Miktar,Koli İçi Adet,Liste Fiyatı,Koli Fiyatı,İskonto,Distribütör Alış Fiyatı,Palet içi Adet
MM10951,Hindistan Cevizi Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10965,İrlanda Kreması Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10966,Karadut Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10947,Karamel Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10955,Karpuz Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10960,Kavun Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11013,Kayısı Çekirdeği Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10964,Kivi Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10970,Lavanta Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10961,Mango Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11017,Maple Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11016,Mojıto Mıx Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10950,Muz Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11020,Mürver Çiçeği Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10963,Nane Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10954,Nar Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11018,Passıon Fruıt Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11015,Portakal Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10982,Reyhan Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11019,Salted Caramel Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10952,Şeftali Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10962,Şeker Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10973,Toffee Nut Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10957,Turunç Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10949,Vanilya Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10968,Yaban Mersini Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10983,Yanık Karamel Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10958,Yeşil Elma Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10953,Yeşil Limon (Misket Limonu) Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11044,Baharatlı Balkabak Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
Kokteyl Şurubu (Plastik Şişe),,,,,,,,,
MM11154,Ananas Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11153,Bahçe Nanesi Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11226,Bergamot Aromalı Kokteyl Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10981,Beyaz Çikolata Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11192,Bodrum Mandalinası Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11167,Böğürtlen Aromalı Şurup 70Cl(Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11155,Bubble Gum Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11077,Cookıe Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10976,Çikolata Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,38","20,25",25%,"2,53",630
MM10979,Çilek Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11194,Düşes Armudu Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10987,Fındık Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11076,Frambuaz Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11079,Hindistan Cevizi Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11089,İrlanda Kreması Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11286,Kahve Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11202,Karadut Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10980,Karamel Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11169,Karpuz Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11224,Kavun Aromalı Kokteyl Şurup 70 Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11227,Kayısı Çekirdeği Aromalı Kokteyl Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11081,Kivi Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11225,Lavanta Aromalı Kokteyl Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11170,Mango Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11228,Maple Aromalı Kokteyl Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11078,Mojıto Mıx Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10999,Muz Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11229,Mürver Çiçeği Aromalı Kokteyl Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11049,Nane Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10989,Nar Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11171,Passıon Fruıt Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11080,Portakal Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11193,Reyhan Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11152,Salted Caramel Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11172,Şeftali Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11090,Şeker Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11151,Toffee Nut Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM10997,Turunç Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,23","19,38",25%,"2,42",630
MM10988,Vanilya Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11156,Yaban Mersini Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11195,Yanık Karamel Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11173,Yeşil Elma Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11174,Yeşil Limon Aromalı Şurup 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11095,Baharatlı Balkabak Aromalı Şurup(Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",630
MM11209,Cool Lime 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",504
MM11210,Cool Berry 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",504
MM11211,Cool Plum Berry 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",504
MM11212,Cool Tropic 70Cl (Plastik Şişe),Plastik,700ML,6,"3,13","18,75",25%,"2,34",504
Kokteyl Şurubu (Premium),,,,,,,,,
MM11021,Premium Çikolata Aromalı Şurup 70Cl,Cam,700ML,6,"6,54","39,25",25%,"4,91",504
MM11022,Premium Beyaz Çikolata Aromalı Şurup 70Cl,Cam,700ML,6,"6,54","39,25",25%,"4,91",504
MM11023,Premium Karamel Aromalı Şurup 70Cl,Cam,700ML,6,"6,54","39,25",25%,"4,91",504
MM11024,Premium Fındık Aromalı Şurup 70Cl,Cam,700ML,6,"6,54","39,25",25%,"4,91",504
MM11025,Premium Vanilya Aromalı Şurup 70Cl,Cam,700ML,6,"6,54","39,25",25%,"4,91",504
MM11026,Premium Çilek Aromalı Şurup 70Cl,Cam,700ML,6,"6,54","39,25",25%,"4,91",504
Dekor Sos,,,,,,,,,
TC10056,Beyaz Çikolata,,750 GR,6,"5,75","34,50",25%,"4,31",1080
TC10057,Çikolata,,750 GR,6,"3,90","23,38",25%,"2,92",1080
TC10058,Çilek,,750 GR,6,"3,10","18,63",25%,"2,33",1080
TC10059,Frambuaz,,750 GR,6,"3,10","18,63",25%,"2,33",1080
TC10060,Karamel,,750 GR,6,"3,23","19,38",25%,"2,42",1080
Meyve Püresi,,,,,,,,,
TC10796,Sweet Heaven Ananas Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10781,Sweet Heaven Çilek Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10784,Sweet Heaven Karpuz Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10791,Sweet Heaven Kavun Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10787,Sweet Heaven Kivi Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10790,Sweet Heaven Limon Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10783,Sweet Heaven Mango Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10793,Sweet Heaven Muz Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10786,Sweet Heaven Şeftali Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10788,Sweet Heaven Yeşil Elma Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10803,Sweet Heaven Bodrum Mandalina Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10785,Sweet Heaven Karadut Meyve Püresi-1000 Gr,,1000 GR,6,"6,25","37,50",25%,"4,69",450
TC10782,Sweet Heaven Böğürtlen Meyve Püresi-1000 Gr,,1000 GR,6,"8,33","50,00",25%,"6,25",450
TC10789,Sweet Heaven Frambuaz Meyve Püresi-1000 Gr,,1000 GR,6,"8,33","50,00",25%,"6,25",450
TC10792,Sweet Heaven Kırmızı Orman Meyveleri Püresi-1000 Gr,,1000 GR,6,"8,33","50,00",25%,"6,25",450
TC10794,Sweet Heaven Yaban Mersini Meyve Püresi-1000 Gr,,1000 GR,6,"8,33","50,00",25%,"6,25",450
TC10798,Sweet Heaven Çarkıfelek Meyve Püresi-1000 Gr,,1000 GR,6,"8,33","50,00",25%,"6,25",450
TC10829,Sweet Heaven Yuzu Meyve Püresi-1000 Gr,,1000 GR,6,"8,33","50,00",25%,"6,25",450
Waffle Sos,,,,,,,,,
MM11176,Sütlü Waffle Sos-10 Kg,,10 KG,1,"41,42","41,42",18%,"33,96",50
MM11191,Bitter Waffle Sos-10 Kg,,10 KG,1,"41,42","41,42",18%,"33,96",50
TC10033,Fildişi Waffle Sos-10 Kg,,10 KG,1,"40,10","40,10",12%,"35,29",50
MM11230,Fındık Waffle Sos-10 Kg,,10 KG,1,"41,42","41,42",18%,"33,96",50
MM11231,Sütlü Waffle Sos-1 Kg,,1 KG,6,"4,44","26,63",18%,"3,64",50
MM11232,Bitter Waffle Sos-1 Kg,,1 KG,6,"4,44","26,63",18%,"3,64",50
TC10040,Fildişi Waffle Sos-1 Kg,,1 KG,6,"4,48","26,88",12%,"3,94",50
MM11233,Fındıklı Waffle Sos-1 Kg,,1 KG,6,"4,44","26,63",18%,"3,64",50
Bar Sos,,,,,,,,,
TC10495,Beyaz Çikolatalı Bar Sos,,2500 GR,4,"19,71","78,83",25%,"14,78",288
TC10496,Bitter Çikolatalı Bar Sos,,2500 GR,4,"14,00","56,00",25%,"10,50",288
TC10494,Toffee Karamelli Bar Sos,,2500 GR,4,"14,00","56,00",25%,"10,50",288
Aparatifler,,,,,,,,,
MM10502,Bitter Portakallı Lokum (Piyasa),,2000 GR,1,"8,40","8,40",15%,"7,14",600
MM10503,Bitter Frambuazlı Lokum (Piyasa),,2000 GR,1,"8,40","8,40",15%,"7,14",600
Ekipmanlar,,,,,,,,,
TC10539,Kokteyl Şurup Pompası,,1,,"1,08","0,00",15%,"0,92",324
Açıklamalar;,,,,,,,,,
1- Fiyatlarımıza KDV dahil değildir.,,,,,,,,,
2-Liste satış fiyatlarımız tavsiye niteliğindedir.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
