new-018,2025-10-11 00:00:00.000000+00,MM11003,"{""de"": ""Pistazientraum"", ""tr"": ""Fıstık Rüyası (12 Dilim)""}",,,69.60,{},30.00,96.67,10,10,20,5,,,,,,{},{},,,,,1540,6,,MM11003,Dahili,128.00,128.00,12,6,1160.00,96.67,835.20,69.60,28
new-019,2025-10-11 00:00:00.000000+00,MM11004,"{""de"": ""Honig-Walnuss Kuchen"", ""tr"": ""Ballı Cevizli Pasta (12 Dilim)""}",,,61.50,{},30.00,85.42,10,10,20,5,,,,,,{},{},,,,,1640,6,,MM11004,Dahili,137.00,137.00,12,6,1025.00,85.42,738.00,61.50,28
new-020,2025-10-11 00:00:00.000000+00,MM11005,"{""de"": ""Honig-Pistazien Kuchen"", ""tr"": ""Balli Fıstıklı Pasta (12 Dilim)""}",,,64.50,{},30.00,89.58,10,10,20,5,,,,,,{},{},,,,,1570,6,,MM11005,Dahili,131.00,131.00,12,6,1075.00,89.58,774.00,64.50,28
new-021,2025-10-11 00:00:00.000000+00,MM10018,"{""de"": ""Brownie"", ""tr"": ""Browni (9 Dilim)""}",,,72.80,{},30.00,101.11,10,10,20,5,,,,,,{},{},,,,,1350,6,,MM10018,Dahili,150.00,150.00,9,6,910.00,101.11,655.20,72.80,28
new-022,2025-10-11 00:00:00.000000+00,MM10026,"{""de"": ""Dubai Schokoladen Brownie"", ""tr"": ""Dubai Çikolatalı Brownie (9 Dilim) *YENİ""}",,,73.92,{},30.00,102.67,10,10,20,5,,,,,,{},{},,,,,1110,6,,MM10026,Dahili,123.00,123.00,9,6,924.00,102.67,665.28,73.92,28
new-023,2025-10-11 00:00:00.000000+00,MM10796,"{""de"": ""Belgischer Schokoladenkuchen"", ""tr"": ""Belçika Çikolatalı Pasta (12 Dilim)""}",,,74.88,{},30.00,104.00,10,10,20,5,,,,,,{},{},,,,,2200,4,,MM10796,Dahili,183.00,183.00,12,4,1248.00,104.00,898.56,74.88,28
new-024,2025-10-11 00:00:00.000000+00,MM11272,"{""de"": ""Almondy Cake"", ""tr"": ""Almondy Cake (12 Dilim)""}",,,60.00,{},30.00,83.33,10,10,20,5,,,,,,{},{},,,,,1400,6,,MM11272,Dahili,117.00,117.00,12,6,1000.00,83.33,720.00,60.00,28
new-025,2025-10-11 00:00:00.000000+00,MM10045,"{""de"": ""Lemondy Kuchen"", ""tr"": ""Lemondy Pasta (12 Dilim)""}",,,49.98,{},30.00,69.42,10,10,20,5,,,,,,{},{},,,,,1450,6,,MM10045,Dahili,121.00,121.00,12,6,833.00,69.42,599.76,49.98,28
new-026,2025-10-11 00:00:00.000000+00,MM10600,"{""de"": ""Karottenkuchen"", ""tr"": ""Havuçlu Kek (12 Dilim)""}",,,41.70,{},30.00,57.92,10,10,20,5,,,,,,{},{},,,,,1690,4,,MM10600,Dahili,141.00,141.00,12,4,695.00,57.92,500.40,41.70,28
new-027,2025-10-11 00:00:00.000000+00,MM10281,"{""de"": ""Marmorkuchen"", ""tr"": ""Mermer Kek (12 Dilim)""}",,,39.54,{},30.00,54.92,10,10,20,5,,,,,,{},{},,,,,1530,,MM10281,Dahili,128.00,128.00,12,,659.00,54.92,474.48,39.54,28
new-028,2025-10-11 00:00:00.000000+00,MM10472,"{""de"": ""Schokoladen Muffin"", ""tr"": ""Çikolatalı Muffin (9 Adet)""}",,,52.40,{},30.00,72.78,10,10,20,5,,,,,,{},{},,,,,1250,4,,MM10472,Dahili,139.00,139.00,9,4,655.00,72.78,471.60,52.40,28
new-029,2025-10-11 00:00:00.000000+00,MM10471,"{""de"": ""Kirsch Muffin"", ""tr"": ""Vişneli Muffin (9 Adet)""}",,,50.00,{},30.00,69.44,10,10,20,5,,,,,,{},{},,,,,1150,4,,MM10471,Dahili,128.00,128.00,9,4,625.00,69.44,450.00,50.00,28
new-030,2025-10-11 00:00:00.000000+00,MM10028,"{""de"": ""Karamell Trileçe"", ""tr"": ""Karamelli Trileçe (9 Dilim)""}",,,49.92,{},30.00,69.33,10,10,20,5,,,,,,{},{},,,,,1850,6,,MM10028,Dahili,206.00,206.00,9,6,624.00,69.33,449.28,49.92,28
new-031,2025-10-11 00:00:00.000000+00,MM10029,"{""de"": ""Himbeer Trileçe"", ""tr"": ""Frambuazlı Trileçe (9 Dilim)""}",,,49.92,{},30.00,69.33,10,10,20,5,,,,,,{},{},,,,,1850,6,,MM10029,Dahili,206.00,206.00,9,6,624.00,69.33,449.28,49.92,28
new-032,2025-10-11 00:00:00.000000+00,MM10086,"{""de"": ""Soufflé Groß Roh"", ""tr"": ""Sufle Büyük (Çiğ 10 Adet)""}",,,59.04,{},30.00,82.00,10,10,20,5,,,,,,{},{},,,,,1400,6,,MM10086,Dahili,140.00,140.00,10,6,820.00,82.00,590.40,59.04,28
new-033,2025-10-11 00:00:00.000000+00,MM10087,"{""de"": ""Soufflé Groß Gebacken"", ""tr"": ""Sufle Büyük (Pişmiş 10 Adet)""}",,,67.32,{},30.00,93.50,10,10,20,5,,,,,,{},{},,,,,1400,6,,MM10087,Dahili,140.00,140.00,10,6,935.00,93.50,673.20,67.32,28
new-034,2025-10-11 00:00:00.000000+00,MM10764,"{""de"": ""Cocosweet Mono Kuchen"", ""tr"": ""Cocosweet Pasta (9 Adet) *YENİ""}",,,64.00,{},30.00,88.89,10,10,20,5,,,,,,{},{},,,,,1300,6,,MM10764,Dahili,144.00,144.00,9,6,800.00,88.89,576.00,64.00,28
