,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sweet Heaven Pasta Fiyat Listesi 28.10.2025,,,,,,,,,,,
 Ürün Kodu, Ürün Adı, Kutu Gramaj, Dilim Gramaj , Liste Fiyatı(Kutu), Liste Fiyatı(Dilim), Distribütör Fiyatı (Dilim)  , Distribütör Fiyatı   (Kutu), İskonto, Kutu İçi, Koli İçi, Palet İçi Adet
MM10536,Glutensiz Çikolatalı Pasta,600,600,"9,10","9,10","7,28","7,28",20%,1,4,315
MM10710,Glutensiz Orman Meyveli Pasta,600,600,"8,60","8,60","6,88","6,88",20%,1,9,315
MM10711,Glutensiz Tiramisu,600,600,"8,42","8,42","6,73","6,73",20%,1,9,315
MM10788,Glutensiz Çikolatalı Kup (9 Adet),810,90,"19,54","2,17","1,56","14,07",28%,9,6,252
MM10789,Glutensiz Frambuazlı Kup (9 Adet),810,90,"17,40","1,93","1,39","12,53",28%,9,6,252
MM10766,Glutensiz Tiramisu Kup (9 Adet),810,90,"17,38","1,93","1,39","12,51",28%,9,6,252
Soğuk İçeçekler,,,,,,,,,,,
TC10226,"Limonata*Makinesiz(3,5-4 Lt Su İle Karıştırılacaktır)",,2 Litre,"7,19",,,"5,53",23%,1,6,384
TC10760,Portakal Suyu,,2 Litre,"3,85",,,"2,97",23%,1,6,384
Pizza,,,,,,,,,,,
TC10446,Karışık Pizza 25 Cm ,,390,"2,75",,,"2,20",20%,1,10,1200
TC10444,Margarita Pizza 25 Cm,,325,"2,40",,,"1,92",20%,1,10,1200
TC10445,Vejeteryan Pizza 25 Cm,,370,"2,54",,,"2,03",20%,1,10,1200
TC10443,Pizza Taban 25 Cm,,185,"0,92",,,"0,73",20%,1,15,1800
Ekipmanlar,,,,,,,,,,,
TC10234,Fanus (Pasta Servis Seti),,,"8,33",,,"7,08",15%,1,10,1200
TC10831,Pasta Menü Sweet Heaven 2024,,,"0,01",,,"0,01",0%,400,400,48000
TC10822,Altolas Z Menü,,,"0,01",,,"0,01",0%,400,400,48000
Açıklamalar;,,,,,,,,,,,
1- Fiyatlarımız KDV hariç fiyattır (KDV Oranı : %1 ),,,,,,,,,,,
2- Kutu Başı ± 50 gr  farklılık gösterebilir.,,,,,,,,,,,
3- Tarım ve Köy İşleri Bakanlığının TR-34-K-095890 ve 13.10.2014  tarihli izni ile üretilmiştir.,,,,,,,,,,,
4-Liste satış fiyatlarımız tavsiye niteliğindedir.,,,,,,,,,,,
